,Date,Hour,Purchase Bid (MWh),Sell Bid (MWh),MCV (MWh),Final Scheduled Volume (MWh),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
275,12-01-2025,12,12523.15,14390.63,8512.94,8512.94,3540.78,3542.3
276,12-01-2025,13,8550.5,17579.2,6447.21,6447.21,3008.57,3015.46
277,12-01-2025,14,7907.95,23207.65,6741.78,6741.78,2428.09,2433.7
278,12-01-2025,15,10049.38,24312.75,8096.13,8096.13,3010.99,3013.27
279,12-01-2025,16,11836.25,20523.68,9158.19,9158.19,3131.21,3132.88
280,12-01-2025,17,11543.58,14923.1,8631.07,8631.07,3450.65,3442.54
281,12-01-2025,18,10468.7,9724.85,6848.45,6848.45,4077.77,4075.29
282,12-01-2025,19,15120.5,9129.6,8913.75,8913.75,9750.21,9749.24
283,12-01-2025,20,12729.48,9105.03,8420.57,8420.57,5920.16,5954.53
284,12-01-2025,21,9677.78,10434.83,6681.06,6681.06,4003.41,4009.29
285,12-01-2025,22,7029.25,13142.98,5738.85,5738.85,3047.64,3064.41
286,12-01-2025,23,5706.78,16561.98,4689.88,4689.88,2196.65,2196.77
287,12-01-2025,24,6631.8,22399.25,5396.53,5396.53,2347.42,2346.83
288,13-01-2025,1,8954.6,24361.55,7003.61,7003.61,2547.42,2545.81
289,13-01-2025,2,9043.0,26807.1,7588.98,7588.98,2154.3,2154.27
290,13-01-2025,3,9049.8,28328.95,7732.5,7732.5,2133.93,2134.04
291,13-01-2025,4,9207.45,28773.8,7871.88,7871.88,2133.56,2133.56
292,13-01-2025,5,9211.55,26828.25,7828.9,7828.9,2180.15,2178.84
293,13-01-2025,6,9895.88,19599.48,7426.53,7426.53,2894.12,2892.75
294,13-01-2025,7,11437.0,11141.55,7813.6,7813.6,4153.1,4154.13
295,13-01-2025,8,18923.05,7981.68,7977.92,7977.92,10000.0,10000.0
296,13-01-2025,9,21423.48,8389.7,8384.7,8384.7,10000.0,10000.0
297,13-01-2025,10,22097.4,9445.58,9440.58,9440.58,10000.0,10000.0
298,13-01-2025,11,18769.73,11154.78,10144.83,10144.83,6658.59,6703.14
299,13-01-2025,12,14455.93,14571.05,8302.18,8302.18,3667.41,3670.04
300,13-01-2025,13,10414.23,16067.4,6387.55,6387.55,3077.55,3077.88
301,13-01-2025,14,9518.73,19727.03,6864.9,6864.9,2602.07,2602.86
302,13-01-2025,15,11855.7,19966.75,8053.71,8053.71,3069.89,3072.91
303,13-01-2025,16,14413.78,15762.78,9559.28,9559.28,3663.59,3666.46
304,13-01-2025,17,16273.63,10711.13,9631.31,9631.31,5905.3,5735.97
305,13-01-2025,18,16151.25,6683.13,6678.12,6678.12,10000.0,10000.0
306,13-01-2025,19,26584.55,6077.55,6072.55,6072.55,10000.0,10000.0
307,13-01-2025,20,21003.75,6202.85,6200.35,6200.35,10000.0,10000.0
308,13-01-2025,21,14282.43,8869.8,8105.83,8105.83,7396.98,7356.27
309,13-01-2025,22,10596.68,13261.03,7091.85,7091.85,3664.53,3678.95
310,13-01-2025,23,8667.1,15111.8,5767.86,5767.86,2905.66,2906.95
311,13-01-2025,24,8592.93,18908.1,5959.94,5959.94,2742.86,2743.44
312,14-01-2025,1,11153.9,28409.7,8896.02,8896.02,2721.32,2719.42
313,14-01-2025,2,12351.75,30980.1,10397.5,10397.5,2693.12,2693.01
314,14-01-2025,3,12207.25,32275.55,10546.18,10546.18,2518.41,2518.4
315,14-01-2025,4,12042.05,32579.18,10492.97,10492.97,2475.3,2475.45
316,14-01-2025,5,11558.73,29102.55,9648.65,9648.65,2699.44,2696.31
